time_difference,公告日期,证券代码,证券简称,违规年度
0.0,2017,737,南风化工,2017.0
3.0,2017,600281,太化股份,2014.0
2.0,2021,2387,维信诺,2019.0
8.0,2021,750,国海证券,2013.0
6.0,2021,2496,*ST 辉丰,2015.0
7.0,2021,750,国海证券,2014.0
14.0,2023,600287,江苏舜天,2009.0
5.0,2021,2496,*ST 辉丰,2016.0
6.0,2021,750,国海证券,2015.0
13.0,2023,600287,江苏舜天,2010.0
5.0,2021,750,国海证券,2016.0
12.0,2023,600287,江苏舜天,2011.0
4.0,2021,750,国海证券,2017.0
11.0,2023,600287,江苏舜天,2012.0
1.0,2021,603322,超讯通信,2020.0
1.0,2017,752,西藏发展,2016.0
10.0,2023,600287,江苏舜天,2013.0
0.0,2021,603322,超讯通信,2021.0
3.0,2017,753,漳州发展,2014.0
9.0,2023,600287,江苏舜天,2014.0
2.0,2022,300868,杰美特,2020.0
2.0,2017,753,漳州发展,2015.0
8.0,2023,600287,江苏舜天,2015.0
1.0,2022,300868,杰美特,2021.0
1.0,2017,753,漳州发展,2016.0
7.0,2023,600287,江苏舜天,2016.0
1.0,2020,980,*ST 众泰,2019.0
4.0,2018,755,*ST 三维,2014.0
6.0,2023,600287,江苏舜天,2017.0
0.0,2020,980,*ST 众泰,2020.0
3.0,2018,755,*ST 三维,2015.0
5.0,2023,600287,江苏舜天,2018.0
2.0,2022,688368,晶丰明源,2020.0
2.0,2018,755,*ST 三维,2016.0
4.0,2023,600287,江苏舜天,2019.0
1.0,2022,688368,晶丰明源,2021.0
1.0,2018,755,*ST 三维,2017.0
3.0,2023,600287,江苏舜天,2020.0
0.0,2018,601038,一拖股份,2018.0
3.0,2018,756,新华制药,2015.0
2.0,2023,600287,江苏舜天,2021.0
2.0,2018,2194,武汉凡谷,2016.0
2.0,2018,756,新华制药,2016.0
5.0,2021,600289,ST 信通,2016.0
1.0,2022,600243,青海华鼎,2021.0
14.0,2021,758,中色股份,2007.0
